path,count,mean,std,min,p05,p25,p50,p75,p95,max
hotspots\hotspot_temporal_2026_zgt1p5.tif,156437,0.010246936231851578,0.10070718824863434,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_persistence_2013_2026.tif,156437,2.012995719909668,0.7655251622200012,0.0,1.0,1.0,2.0,2.0,3.0,6.0
hotspots\hotspot_temporal_persistence_ge_3.tif,156437,0.2444370537996292,0.4297529458999634,0.0,0.0,0.0,0.0,0.0,1.0,1.0
webapp_rasters\Albedo_2026_summer_10m.tif,1407929,0.1883600354194641,0.04037484899163246,0.02419980987906456,0.1328752040863037,0.1637805700302124,0.18493154644966125,0.20960330963134766,0.2479744851589203,1.0213338136672974
webapp_rasters\Albedo_2026_summer_30m.tif,156437,0.18835590779781342,0.03606797009706497,0.024790961295366287,0.14114715158939362,0.16553279757499695,0.18404728174209595,0.2074819952249527,0.24456936120986938,0.7964964509010315
webapp_rasters\anomaly_2026_summer_30m.tif,156437,0.5344401597976685,1.2980952262878418,-10.338775634765625,-1.2672523260116577,-0.22815322875976562,0.40576934814453125,1.2459907531738281,2.6740188598632812,9.094619750976562
webapp_rasters\climatology_mean_2013_2026_30m.tif,156437,40.404327392578125,3.7036471366882324,30.155778884887695,33.32294464111328,38.08388137817383,41.05487060546875,42.93880844116211,45.66739273071289,54.2729606628418
webapp_rasters\DeltaLST_2026_summer_1km.tif,138,7.069104194641113,0.9859617948532104,5.0127272605896,5.369272708892822,6.323636531829834,7.156363487243652,7.832273006439209,8.595545768737793,8.9745454788208
webapp_rasters\hotspot_structural_persistence_2013_2026.tif,156437,0.7541438341140747,2.3563833236694336,0.0,0.0,0.0,0.0,0.0,5.0,14.0
webapp_rasters\hotspot_structural_vs_anomalous_2026.tif,156437,0.1799190789461136,0.5645438432693481,0.0,0.0,0.0,0.0,0.0,2.0,3.0
webapp_rasters\hotspot_temporal_2026_summer_30m.tif,156437,0.07091672718524933,0.25668570399284363,0.0,0.0,0.0,0.0,0.0,1.0,1.0
webapp_rasters\hotspot_temporal_persistence_2013_2026.tif,156437,2.012995719909668,0.7655251622200012,0.0,1.0,1.0,2.0,2.0,3.0,6.0
webapp_rasters\HRI_2026_summer_30m.tif,156437,0.28821811079978943,0.14050230383872986,-0.5741928815841675,0.036670755594968796,0.18843165040016174,0.30838125944137573,0.3908114433288574,0.4892617166042328,0.8597778677940369
webapp_rasters\HVI_2026_summer_30m.tif,156437,-0.26046517491340637,0.2786388695240021,-0.9121657013893127,-0.7413809895515442,-0.4689164459705353,-0.24826541543006897,-0.04228430986404419,0.16528674960136414,0.5546746253967285
webapp_rasters\LST_2026_summer_30m.tif,156437,40.93876647949219,3.49967622756958,30.980255126953125,34.603355407714844,38.477684020996094,41.451358795166016,43.44919204711914,46.12550354003906,53.3990478515625
webapp_rasters\NDVI_2026_summer_30m.tif,156437,0.4940522611141205,0.23704320192337036,-0.4762939512729645,0.10462188720703125,0.3042910397052765,0.5054311156272888,0.6883077025413513,0.8623450994491577,0.9250243306159973
webapp_rasters\UHEI_2026_summer_30m.tif,156437,1.5764943361282349,0.27539604902267456,0.8681609034538269,1.10481858253479,1.3678030967712402,1.5894323587417603,1.7924926280975342,1.9948220252990723,2.470369577407837
webapp_rasters\zscore_spatial_2026_summer_30m.tif,156437,0.09066729247570038,0.9055891633033752,-2.486234664916992,-1.5487078428268433,-0.5461722016334534,0.22330687940120697,0.7402735948562622,1.4328058958053589,3.3149352073669434
webapp_rasters\zscore_temporal_2026_summer_30m.tif,156437,0.23621374368667603,0.49663618206977844,-2.3365612030029297,-0.5121447443962097,-0.10697366297245026,0.18955741822719574,0.5604948997497559,1.0936201810836792,2.635359287261963
